"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated","mentions","rating"
"ark","Ark","ARK","49","9.13224","0.00059279","27414100.0","894788601.0","97981284.0","129231284.0",,"2.89","18.91","15.68","1515473049",69,319055459
"funfair","FunFair","FUN","54","0.189367","0.00001229","118614000.0","804785818.0","4249873622.0","10999873621.0",,"3.22","10.17","119.01","1515473051",36,110557065
"dent","Dent","DENT","43","0.101356","0.00000658","84062300.0","1075869712.0","10614760961.0","100000000000",,"-2.07","52.59","477.1","1515473053",9,96569234
"augur","Augur","REP","42","103.096","0.00669216","59803500.0","1134056000.0","11000000.0","11000000.0",,"-0.96","32.75","30.72","1515473045",13,92544195
"substratum","Substratum","SUB","68","2.68514","0.0001743","37329500.0","607087193.0","226091449.0","352000000.0",,"8.14","7.76","152.26","1515473054",23,82246844
"icon","ICON","ICX","15","12.1278","0.00078724","269832000.0","4590918112.0","378545005.0","400230000.0",,"1.35","12.39","89.12","1515473055",26,73597309
"verge","Verge","XVG","21","0.230292","0.00001495","907978000.0","3343112074.0","14516839811.0","14516839811.0","16555000000.0","1.6","33.24","47.94","1515473044",5,35796294
"monacoin","MonaCoin","MONA","70","10.1014","0.0006557","15231900.0","571628881.0","56589075.0","56589075.0",,"4.8","22.96","1.17","1515473042",5,30305899
"raiblocks","RaiBlocks","XRB","19","26.3188","0.0017084","41192700.0","3506935074.0","133248289.0","133248289.0","133248290.0","0.62","1.8","-20.32","1515473049",85,19289329
"tenx","TenX","PAY","93","4.12739","0.00026792","27682500.0","431978044.0","104661310.0","205218256.0",,"1.18","4.58","0.01","1515473051",9,11176564
"gas","Gas","GAS","81","53.0881","0.00344605","25021600.0","485096857.0","9137582.0","13802656.0","100000000.0","2.52","1.88","59.62","1515473052",6,4466615
"rchain","RChain","RHOC","74","2.85638","0.00018541","2278460.0","522612411.0","182963195.0","870663574.0","1000000000.0","-0.32","1.0","58.73","1515473054",4,993814
"tether","Tether","USDT","37","1.00425","0.00006519","3775970000.0","1474329218.0","1468089837.0","1499999377.0",,"0.18","0.25","0.01","1515473045",4,0
"vechain","VeChain","VEN","39","4.38764","0.00028481","118082000.0","1216089857.0","277162633.0","867162633.0",,"0.16","-0.52","84.38","1515473053",12,0
"status","Status","SNT","33","0.472276","0.00003066","83547500.0","1639026201.0","3470483788.0","6804870174.0",,"-0.12","-5.5","81.27","1515473051",5,-5966293
"cardano","Cardano","ADA","5","0.89924","0.00005837","253194000.0","23314658911.0","25927070538.0","31112483745.0","45000000000.0","-1.58","-6.08","23.53","1515473054",5,-7462018
"stellar","Stellar","XLM","8","0.64057","0.00004158","251225000.0","11453454173.0","17880097683.0","103590302054",,"0.06","-5.0","28.98","1515473043",7,-7651673
"dogecoin","Dogecoin","DOGE","31","0.0154678","0.00000100","228678000.0","1743076217.0","112690635817","112690635817",,"1.2","-11.0","72.71","1515473042",5,-12052609
"bitcoin","Bitcoin","BTC","1","15482.3","1.0","18721200000.0","259962912242","16790975.0","16790975.0","21000000.0","0.37","-3.3","13.33","1515473061",30,-17250514
"walton","Walton","WTC","99","15.1683","0.0009846","38527700.0","377663033.0","24898178.0","70000000.0","100000000.0","-0.06","-9.35","29.85","1515473053",14,-32639546
"litecoin","Litecoin","LTC","7","257.396","0.016708","1129610000.0","14073366490.0","54675933.0","54675933.0","84000000.0","0.47","-6.07","5.85","1515473041",26,-33890562
"iota","IOTA","MIOTA","9","3.89113","0.00025258","300914000.0","10815513670.0","2779530283.0","2779530283.0","2779530283.0","0.51","-4.08","-3.19","1515473051",40,-34976612
"poet","Po.et","POE","96","0.176544","0.00001146","35827500.0","387796830.0","2196601583.0","3141592653.0",,"-0.22","-7.75","89.39","1515473054",34,-61252251
"ripple","Ripple","XRP","3","2.44567","0.00015875","3362610000.0","94743164378.0","38739144847.0","99993093880.0","100000000000","-0.57","-17.5","6.37","1515473041",39,-137071996


"ark","Ark","ARK","48","9.36528","0.00060853","29631100.0","917622159.0","97981284.0","129231284.0",,"5.47","21.53","17.93","1515475150",72,426396435
"substratum","Substratum","SUB","64","2.77097","0.00018005","39715100.0","626492622.0","226091449.0","352000000.0",,"9.85","12.05","159.77","1515475156",23,113372959
"funfair","FunFair","FUN","54","0.188601","0.00001225","120511000.0","801530415.0","4249873622.0","10999873621.0",,"1.98","10.12","117.57","1515475151",36,94013485
"dent","Dent","DENT","43","0.102492","0.00000666","87637500.0","1087928080.0","10614760961.0","100000000000",,"1.87","51.1","484.03","1515475153",8,88856909
"icon","ICON","ICX","15","12.1981","0.0007926","267482000.0","4617529825.0","378545005.0","400230000.0",,"0.06","11.54","90.31","1515475155",26,62555704
"monacoin","MonaCoin","MONA","70","9.88675","0.00064241","16386600.0","559485744.0","56589450.0","56589450.0",,"1.96","20.02","-1.11","1515475141",5,24784707
"gas","Gas","GAS","76","55.2408","0.00358939","25396500.0","504767329.0","9137582.0","13802656.0","100000000.0","5.99","6.22","65.35","1515475152",8,21373978
"raiblocks","RaiBlocks","XRB","19","26.4861","0.00172099","41086000.0","3529227513.0","133248289.0","133248289.0","133248290.0","0.88","1.12","-20.56","1515475149",89,20191241
"monero","Monero","XMR","13","447.586","0.0290828","350363000.0","6973362483.0","15579939.0","15579939.0",,"2.93","7.67","19.57","1515475142",7,13594232
"tenx","TenX","PAY","93","4.09885","0.00026633","27321200.0","428991010.0","104661310.0","205218256.0",,"-0.38","4.03","-0.99","1515475151",11,10958871
"tether","Tether","USDT","37","1.00167","0.00006509","3761580000.0","1470541547.0","1468089837.0","1499999377.0",,"-0.23","-0.11","-0.24","1515475145",5,0
"vechain","VeChain","VEN","39","4.39352","0.00028548","117405000.0","1217719573.0","277162633.0","867162633.0",,"0.8","0.13","84.85","1515475154",12,0
"stellar","Stellar","XLM","8","0.646789","0.00004203","251519000.0","11564651212.0","17880098783.0","103590302054",,"0.63","-4.31","29.11","1515475143",7,-6103216
"cardano","Cardano","ADA","5","0.901266","0.00005856","249517000.0","23367187156.0","25927070538.0","31112483745.0","45000000000.0","-0.86","-6.17","23.2","1515475154",5,-6378999
"bitcoin","Bitcoin","BTC","1","15456.1","1.0","18651100000.0","259523761502","16791025.0","16791025.0","21000000.0","0.19","-3.53","13.1","1515475161",28,-16101515
"litecoin","Litecoin","LTC","7","256.87","0.0166906","1124510000.0","14044716119.0","54676358.0","54676358.0","84000000.0","0.05","-5.46","5.29","1515475141",25,-27088865
